	Epoch	train_loss
0	10	0.20696796414181098
0	20	0.11739913555616593
0	30	0.08952659531781504
0	40	0.07447367021721411
0	50	0.06475962471412595
0	60	0.057781396785113084
0	70	0.05242144453877296
0	80	0.04831815715875304
0	90	0.044975426454014006
0	100	0.04212087806956615
0	110	0.039602222438931675
0	120	0.03692468160150817
0	130	0.03533736825937695
0	140	0.034106331791849964
0	150	0.03301329031275589
0	160	0.03210310888395494
0	170	0.03129135565841028
0	180	0.03067158357102564
0	190	0.030021433495538614
0	200	0.029518499323275563
0	210	0.029066899545982666
