	Epoch	train_loss
0	1	9.273846040800349
1	2	1.2074785084109232
2	3	0.801007405328828
3	4	0.6136499536116028
4	5	0.4809974020397088
5	6	0.37641930526853906
6	7	0.31008475833868987
7	8	0.26416568071752444
8	9	0.2311574998144573
9	10	0.20696796414181098
0	11	0.18865199947855027
1	12	0.17437453721483795
2	13	0.162747055358395
3	14	0.1531129453039469
4	15	0.14498970241498202
5	16	0.13797467424093499
6	17	0.13191272606832488
7	18	0.12653212711821935
8	19	0.12174967152192336
9	20	0.11739913555616593
0	21	0.11349385158012958
1	22	0.10995819750219035
2	23	0.1066695711339329
3	24	0.10364520467458781
4	25	0.10093144321905977
5	26	0.09831467675567655
6	27	0.09592625829767823
7	28	0.09365373950982127
8	29	0.09154016826938352
9	30	0.08952659531781504
0	31	0.08762465188067503
1	32	0.08590914533966937
2	33	0.08419069413881544
3	34	0.08264119424671558
4	35	0.08108210147678013
5	36	0.0796733920938859
6	37	0.07822818637657838
7	38	0.07698979514807017
8	39	0.07569848181537764
9	40	0.07447367021721411
0	41	0.07331135716898145
1	42	0.07222167812318991
2	43	0.07112870909099385
3	44	0.07011517687341394
4	45	0.0691419487712466
5	46	0.06819986605363261
6	47	0.0672548808731615
7	48	0.06638815420659966
8	49	0.06555606553110198
9	50	0.06475962471412595
0	51	0.06392004573966209
1	52	0.06318339056338215
2	53	0.06244901680446319
3	54	0.06168006050447309
4	55	0.0610125681204727
5	56	0.06032319259308953
6	57	0.05967145251063226
7	58	0.05901632556668183
8	59	0.0583856431695232
9	60	0.057781396785113084
0	61	0.057186640829059936
1	62	0.05658376006514966
2	63	0.05606865054701002
3	64	0.05554410229052421
4	65	0.054987897200786076
5	66	0.054485719567762145
6	67	0.05394571562598468
7	68	0.0534491303960672
8	69	0.05293049807422993
9	70	0.05242144453877296
0	71	0.05201685164220053
1	72	0.05158135430037389
2	73	0.05108138270176416
3	74	0.050683572500623726
4	75	0.05028030072103344
5	76	0.049901244007701955
6	77	0.049485542069377234
7	78	0.04908754157711846
8	79	0.04867537822985613
9	80	0.04831815715875304
0	81	0.04793528354239193
1	82	0.04758928965643069
2	83	0.047223820927866374
3	84	0.046877119101976096
4	85	0.046553738584315704
5	86	0.046205423328648576
6	87	0.04589455002382674
7	88	0.045599085079427885
8	89	0.04530698964538916
9	90	0.044975426454014006
0	91	0.04466927760682452
1	92	0.04434411091059742
2	93	0.044073627865943925
3	94	0.04376408080958735
4	95	0.043467231309615356
5	96	0.04315752292532726
6	97	0.04292100435254404
7	98	0.042643832558027533
8	99	0.042411687852403755
9	100	0.04212087806956615
0	101	0.04187706914771591
1	102	0.04164497893883651
2	103	0.04129604954341503
3	104	0.041006048910625405
4	105	0.040654642487066996
5	106	0.04038547405007745
6	107	0.04010960351082478
7	108	0.03986719224357971
8	109	0.03975863141335443
9	110	0.039602222438931675
0	111	0.03922205182793962
1	112	0.038944794991403194
2	113	0.038642491339297085
3	114	0.03831270455106106
4	115	0.037978932513665666
5	116	0.03765136326645753
6	117	0.037432683594259795
7	118	0.03721565939817354
8	119	0.03705934764780521
9	120	0.03692468160150817
0	121	0.036868818843809555
1	122	0.03663454263471944
2	123	0.03640660214947007
3	124	0.03620395636303138
4	125	0.0360703493844715
5	126	0.03591006070613609
6	127	0.03575795063973284
7	128	0.03560197633851241
8	129	0.035474781319810855
9	130	0.03533736825937695
0	131	0.035234254495847564
1	132	0.03505210788366815
2	133	0.03492737840510265
3	134	0.034789346582603665
4	135	0.03467980602714629
5	136	0.03455262372761955
6	137	0.03446374410244758
7	138	0.03434112883371044
8	139	0.03422205014799624
9	140	0.034106331791849964
0	141	0.033959486373949965
1	142	0.033882311480313745
2	143	0.03376565986634801
3	144	0.03364475075143023
4	145	0.033497161656521446
5	146	0.03343238694077024
6	147	0.033317753415411704
7	148	0.03320865225476819
8	149	0.033127869403347776
9	150	0.03301329031275589
0	151	0.03291818850138836
1	152	0.032851558682768275
2	153	0.03269111698112725
3	154	0.03268529405068784
4	155	0.032556575201443984
5	156	0.03245081705918955
6	157	0.032335525895553184
7	158	0.03229380070126707
8	159	0.032203573071400475
9	160	0.03210310888395494
0	161	0.03202336819409198
1	162	0.031930690101146436
2	163	0.031862357043511785
3	164	0.03177487313039145
4	165	0.03167988546455759
5	166	0.03165406910280631
6	167	0.031530188931082254
7	168	0.03145610214426117
8	169	0.03141514333042001
9	170	0.03129135565841028
0	171	0.03126840217533446
1	172	0.031180678112838724
2	173	0.031119757989397905
3	174	0.031029128297528824
4	175	0.030961807871597375
5	176	0.030897165228632895
6	177	0.030837503599330972
7	178	0.03074878129877748
8	179	0.030693712175742963
9	180	0.03067158357102564
0	181	0.030587326990477712
1	182	0.03051628161960798
2	183	0.03048451108986817
3	184	0.030373096701112066
4	185	0.030348453980628774
5	186	0.030260900784690434
6	187	0.030234767649308325
7	188	0.030143543866505786
8	189	0.030126735076707403
9	190	0.030021433495538614
0	191	0.029986496157597284
1	192	0.02992980368035841
2	193	0.029865397090879497
3	194	0.029805197219204625
4	195	0.029744099201360695
5	196	0.029720392210204987
6	197	0.029667961429401122
7	198	0.02962466063504331
8	199	0.02957558155633206
9	200	0.029518499323275563
0	201	0.029472207166901583
1	202	0.029392142627811948
2	203	0.029377903666983025
3	204	0.029331041388003146
4	205	0.029279341960189994
5	206	0.029199642548469136
6	207	0.02917788345965055
7	208	0.02914955007278565
8	209	0.029127785639849663
9	210	0.029066899545982666
